,id,ppage,gender,educ,race,cat,voting_imp,Q29_1,Q29_2,Q29_3,Q29_4,Q29_5,Q29_6,Q29_7,Q29_8,Q29_9,difficulty,need_change
241,470361,69,Female,Some college,White,always,1,,,,,,,,,,2,2
242,470362,40,Male,High school or less,White,sporadic,1,,,,,,,,,,1,2
243,470363,62,Female,Some college,White,rarely/never,1,,,,,,,,,,1,1
244,470364,75,Female,College,White,sporadic,1,,,,,,,,,,2,1
245,470365,46,Female,College,White,sporadic,1,,,,,,,,,,2,1
246,470366,51,Female,College,White,always,1,,,,,,,,,,2,1
247,470367,78,Female,High school or less,White,sporadic,1,,,,,,,,,,1,1
248,470370,52,Male,College,Hispanic,rarely/never,-1,,,,,,,,,,1,1
249,470371,45,Male,Some college,White,sporadic,1,,,,,,,,,,2,1
250,470372,30,Male,Some college,White,sporadic,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,2,1
251,470373,65,Male,College,White,sporadic,1,,,,,,,,,,1,1
252,470374,28,Male,College,White,rarely/never,1,,,,,,,,,,2,1
253,470375,59,Male,College,Black,always,1,,,,,,,,,,2,2
254,470376,30,Female,College,Black,always,1,,,,,,,,,,2,1
255,470377,80,Female,College,White,always,1,,,,,,,,,,3,1
256,470379,43,Male,High school or less,White,rarely/never,2,,,,,,,,,,-1,-1
257,470382,31,Female,College,White,rarely/never,2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2,1
258,470383,64,Male,College,Other/Mixed,sporadic,1,,,,,,,,,,1,1
259,470384,43,Male,College,White,sporadic,2,,,,,,,,,,1,2
260,470385,69,Female,Some college,White,always,1,,,,,,,,,,2,1
261,470387,62,Male,Some college,White,sporadic,1,,,,,,,,,,1,2
262,470389,66,Male,High school or less,White,sporadic,1,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1
263,470391,68,Female,Some college,White,always,1,,,,,,,,,,1,1
264,470392,69,Female,Some college,Black,always,1,,,,,,,,,,3,1
265,470393,70,Male,College,White,rarely/never,1,,,,,,,,,,1,1
266,470394,61,Female,High school or less,White,always,1,,,,,,,,,,1,1
267,470395,81,Female,High school or less,White,sporadic,2,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,2,1
268,470396,60,Female,Some college,White,rarely/never,1,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,3,1
269,470397,56,Male,High school or less,White,always,1,,,,,,,,,,1,1
270,470399,56,Male,Some college,White,always,2,,,,,,,,,,1,1
271,470403,67,Female,High school or less,Black,sporadic,1,,,,,,,,,,1,1
272,470405,83,Male,College,White,always,1,,,,,,,,,,1,1
273,470407,47,Female,Some college,White,always,1,,,,,,,,,,1,2
274,470408,77,Male,Some college,Hispanic,always,1,,,,,,,,,,1,2
275,470409,44,Female,College,Other/Mixed,sporadic,1,,,,,,,,,,1,1
276,470411,63,Male,Some college,White,always,1,,,,,,,,,,1,1
277,470412,50,Female,High school or less,White,always,1,,,,,,,,,,1,1
278,470414,58,Male,College,White,always,1,,,,,,,,,,1,2
279,470415,39,Male,Some college,White,rarely/never,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1,1
280,470416,68,Female,College,White,always,1,,,,,,,,,,1,1
281,470417,39,Male,College,Black,rarely/never,2,,,,,,,,,,1,2
282,470419,83,Female,High school or less,White,sporadic,1,,,,,,,,,,1,2
283,470420,41,Male,Some college,White,sporadic,1,,,,,,,,,,1,1
284,470421,83,Female,Some college,White,always,1,,,,,,,,,,1,1
285,470422,82,Male,High school or less,White,always,1,,,,,,,,,,1,2
286,470423,48,Female,Some college,Hispanic,sporadic,1,,,,,,,,,,1,1
287,470424,70,Male,College,White,always,1,,,,,,,,,,1,1
288,470425,59,Male,College,Black,sporadic,1,,,,,,,,,,2,1
